By,AQI,Kategori,Dominerende forurensning
London,80,Excellent air quality,o3
Paris,69,Good air quality,o3
Oslo,74,Good air quality,o3
Amsterdam,74,Good air quality,o3
København,74,Good air quality,o3
Berlin,67,Good air quality,o3
Moskva,57,Moderate air quality,o3
Madrid,60,Good air quality,o3
Ankara,54,Moderate air quality,pm10
Roma,71,Good air quality,o3
