By,Gjennomsnitt (Detection Limit),Antall målinger
Oslo,1.0,3
Paris,3.64,79
London,1.53,578
Berlin,,0
Madrid,1.0,5
Amsterdam,,0
Rome,1.4,131
Copenhagen,,0
Ankara,2.09,126
