By,AQI,Kategori,Dominerende forurensning
London,54,Moderate air quality,pm25
Paris,72,Good air quality,o3
Oslo,66,Good air quality,o3
Amsterdam,70,Good air quality,o3
København,58,Moderate air quality,pm10
Berlin,61,Good air quality,pm25
Moskva,55,Moderate air quality,pm10
Madrid,70,Good air quality,o3
Ankara,50,Moderate air quality,pm10
Roma,52,Moderate air quality,pm10
